k,seed,ari_vs_primary,nmi_vs_primary
6,17,0.8774925870338731,0.8869062059491696
6,18,0.5084931305715735,0.6291825985292461
6,19,0.9927575164162129,0.9911026369375338
6,20,0.5998688451075248,0.6571608615417904
6,21,0.4753609661776792,0.5755418956277857
6,22,0.49210205234661963,0.6152367350868262
6,23,0.6889453810418276,0.7380579347951213
6,24,0.45702167029693813,0.5838954502847149
6,25,0.5813108938917672,0.6669170210932068
6,26,0.5638836495169245,0.6811168239131381
6,27,0.6413958400114101,0.7150611052281162
6,28,0.8548529009992265,0.8496903627436848
6,29,0.8730622528124033,0.8651296857361761
6,30,0.5448000455043218,0.6485954893357625
6,31,0.544718923820439,0.6499718906909274
6,32,0.6211876113812099,0.6858751762415715
6,33,0.6230529494943216,0.683171103420522
6,34,0.897984094931191,0.9026353171647179
6,35,0.5313020433431853,0.6357982870963582
6,36,0.636043308211042,0.6976603300655896
6,37,0.638335715965815,0.7044992787068317
6,38,0.4562241506491103,0.5642688611403379
6,39,0.8926217352354014,0.8962851020036124
6,40,0.6629346591874288,0.7256641368051496
6,41,0.5528404088869663,0.6428146840020539
6,42,0.5150886957607828,0.6342528645049862
6,43,0.8548529009992265,0.8496903627436848
6,44,0.9925616530731121,0.9910523361382237
6,45,0.6219854860567633,0.7055022697599745
6,46,0.5167282460383529,0.6361780281050615
6,47,0.49321740712719025,0.6130578758786447
6,48,0.5793255754874819,0.6763637176033793
6,49,0.5995566878191451,0.6886119653520876
6,50,0.5039781184223814,0.625458557651673
6,51,0.7852246755173364,0.8175642487375582
6,52,0.897984094931191,0.9026353171647179
6,53,0.6219854860567633,0.7055022697599747
6,54,0.8929471739100164,0.8973922509820222
6,55,0.8768953340338587,0.8657245923694729
6,56,0.6065260844448322,0.6611543931053191
6,57,0.5077907722380194,0.6279427688421606
6,58,0.5720315440182415,0.6351654264614295
6,59,0.4403913243235897,0.552867731784174
6,60,0.897984094931191,0.9026353171647179
6,61,0.5547721396268644,0.6416629273590754
6,62,0.45001505166031264,0.5643778445370446
6,63,0.5327427763875787,0.6557832261533035
6,64,0.5541391285932328,0.6179745437036306
6,65,0.5090431044207068,0.6234451517024848
6,66,0.5045111104991665,0.6192889373031726
6,67,0.5698309686373686,0.6752660923044785
6,68,0.5705983779190061,0.6413542409437086
6,69,0.989540488705871,0.9867699814009606
6,70,0.702542669634615,0.7591901555426924
6,71,0.5324531251953031,0.6582419087957859
6,72,0.5041574687971587,0.6260936326039617
6,73,0.6453800148907314,0.7155827054637032
6,74,0.525460088307064,0.6419467697250028
6,75,0.7563094830771581,0.7922419685464179
6,76,0.5000009441398614,0.6037853315487852
6,77,0.57655376810199,0.6478291991990721
6,78,0.9089421381648451,0.9068457852230084
6,79,0.5854527320775275,0.6598547369012534
6,80,0.5762763897104698,0.6534239755946329
6,81,0.9092740012658327,0.9164617091151975
6,82,0.5004007387573558,0.6144603714358013
6,83,0.5553483976314935,0.6624935307688714
6,84,0.4433069738694084,0.5501813378055714
6,85,0.5434685888959605,0.6451451559535101
6,86,0.8756594727546914,0.867007378966463
6,87,0.46774841623648084,0.5937063068210747
6,88,0.9027640695093699,0.8879158710804308
6,89,0.8813125266514747,0.8765026813828277
6,90,0.5879161283947285,0.6902094014500006
6,91,0.4403939515495809,0.5582245901443053
6,92,0.6294488912604098,0.6937217921324645
6,93,0.9925616530731121,0.9910523361382239
6,94,0.449481030835044,0.5609197509384053
6,95,0.6635411098744134,0.7232316714077547
6,96,0.5158945292105731,0.635188799389571
6,97,0.8722261095170695,0.8626786796482953
6,98,0.8774925870338731,0.8869062059491696
6,99,0.49867480153941807,0.6210738291790336
